अ	[सं.] ना.
अग्रदृष्टि	नाम [सं.]
अग्रधान्य	नाम [सं.]
अग्रन	नाम [सं.]
अग्रनाम	नाम [सं.]
अग्रनु	अकर्मक क्रिया
अग्रपङ्क्ति	नाम [सं.]
अग्रपथ	नाम [सं.]
अग्रपर्णी	नाम [सं.]
अग्रपुष्प	नाम [सं.]
अग्रपूजा	नाम [सं. अग्र+पूजा]
अग्रपृष्ठ	नाम [सं.]
अग्रपेय	नाम [सं.]
अग्रभाग	नाम [अग्र+भाग]
अग्रभाणक	विशेषण [सं.]
अग्रभाणक कक्ष	नाम [सं.]
अग्रभूमि	नाम [सं. अग्र+भूमि]
अग्रमहिषी	नाम [सं.]
अग्रमांस	नाम [सं.]
अग्रमिष्टासन	नाम [सं.]
अग्रयान	नाम [सं.]
अग्रयायी	विशेषण [सं.]
अग्रयोद्धा	नाम [सं.]
अग्रयोधी	विशेषण [सं.]
अग्रलेख	नाम [सं.]
अग्रवक्ष	नाम [सं.]
अग्रवर्ती	विशेषण [सं.]
अग्रवाल	नाम
अग्रशोचिता	नाम [सं.]
अग्रसन्धा	नाम [सं.]
अग्रसन्ध्या	नाम [सं.]
अग्रसर	विशेषण [सं.]
अग्रसरता	नाम [सं. अग्रसर+ता]
अग्रसरा	नाम [सं.]
अग्रसारण	नाम [सं.]
अग्रसारित	विशेषण [सं.]
अग्रसूचक	नाम [सं.]
अग्रसूचना	नाम [सं.]
अग्रसूचित	विशेषण [सं.]
अग्रस्वर	नाम [सं.]
अग्रहायण	नाम [सं.]
अग्रहार	नाम [सं.]
अग्रांश	नाम [सं.]
अग्राख	विशेषण
अग्राठ	नाम
अग्रादेश	नाम [सं.]
अग्राधिकार	नाम [सं.]
अग्राम्य	विशेषण [सं.]
अग्रावसर	नाम [सं.]
अग्राशन	ना. [सं.]
अग्रासन	ना. [सं.]
अग्राह्य	वि. [सं.]
अग्रिम	वि. [सं.]
अग्रिम देय	ना.
अग्रिम धन	ना.
अग्रिम भुक्तानी	नाम
अग्रिम रकम	ना.
अग्रीय	विशेषण [सं.]
अग्लाइ	ना. [अग्लो+आइ]
अग्लाहोचा	विशेषण
अग्लिनु	अ.क्रि. [अग्लो +इ+नु]
अग्ली	विशेषण
अग्लुङ	नाम
अग्लो	वि. [प्रा. अग्गो]
अग्लोपन	नाम
अग्लोपना	नाम
अग्लोहोचो	विशेषण
अग्ल्याइ	ना. [√ अग्लि (+ याइ)]
अग्ल्याइनु	क.क्रि.
अग्ल्याउनु	प्रे.क्रि.
अघच	वि.
अघचिलो	विशेषण [अघच+इलो]
अघटित	वि. [सं.]
अघन	नाम [था.]
अघमर्षण	नाम [सं.]
अघराइलो	विशेषण
अघरी	विशेषण [अस.]
अघहनी	नाम
अघा	ना. [सं. अग्र]
अघाइ	ना. [√ अघाउ (+ आइ)]
अघाइत	विशेषण [अस.]
अघाइनु	अ.क्रि.
अघाउँजी	क्रि.वि. [अघाउ +उन्जी]
अघाउनु	अ.क्रि. [सं. आघ्राण]
अघाउन्जेल	क्रियाविशेषण
अघाउन्जेल/अघाउन्जेली	क्रि.वि.
अघाउन्जेलि	क्रियाविशेषण
अघानो	विशेषण
अघार	ना. [सं. अग्र+ट]
अघाला	नाम [था.]
अघासुर	ना. [सं.]
अघि	ना. यो./ क्रि.वि. [सं. अग्र]
अघि अघि	क्रि.वि.
अघिल्तिर	क्रि.वि. [अघिल्लो+तिर]
अघिल्लो	वि. [अघि इल्लो]
अघिसरा	वि. [सं. अग्रसर]
अघु	ना. [भो.ब.]
अघृण	विशेषण [सं.]
अघृणी	विशेषण [सं.]
अघेल	नाम [मग.]
अघैया	नाम
अघैल	विशेषण [गन्गा.]
अघैलअ	विशेषण [गन्गा.]
अघोर	वि. [सं. अ+घोर]
अघोर पन्थ	नाम [सं.]
अघोरपन्थ	ना.
अघोरपन्थी	वि.
अघोरी	ना.
अघोरी बाबा	नाम
अघोरै	क्रि.वि.
अघोर्‍याइँ	नाम
अघोऱ्याइँ	ना.
अघोलन	ना. [सं.]
अघोलनशील	वि.
अघोल्य	विशेषण [सं.]
अघोष	वि. [सं.]
अघोषित	वि.
अघोषीभवन	ना.
अघोष्य	विशेषण [सं.]
अघौँजी	क्रियाविशेषण
अघौली	नाम [मग.]
अघौले	नाम [मग.]
अघ्यार	नामयोगी [अघि+यार]
अङनइ	नाम
अङनायो	नाम
अङभर	नाम
अङल्युन	क्रिया [अङाल् + युन]
अङाजी	नाम
अङार	नाम
अङाल	नाम
अङालो	नाम
अङेरी	नाम
अङोछा	नाम
अङौठी	नाम [अङ्गुष्ठ+ई]
अङौठो	नाम
अङ्क	ना. [सं.]
अङ्कगणित	ना.
अङ्कगणितीय	विशेषण [सं.]
अङ्कतालिका	नाम [सं.]
अङ्कधारण	ना.
अङ्कधारिणी	ना.
अङ्कन	ना.
अङ्कन योजना	[सं.]
अङ्कनपत्र	नाम
अङ्कनी	नाम [सं.]
अङ्कनीय	विशेषण [सं.]
अङ्कपत्र	ना.
अङ्कपत्रित	विशेषण [सं.]
अङ्कपरिवर्तन	नाम [सं.]
अङ्कपालिका	नाम [सं.]
अङ्कबीज	नाम [सं.]
अङ्कमाल	ना.
अङ्कमालिनी	नाम [सं.]
अङ्कमाली	विशेषण [सं.]
अङ्कमुख	ना.
अङ्कल	नाम [अङ्.]
अङ्कविज्ञान	नाम [सं.]
अङ्कविद्या	नाम [सं.]
अङ्कशास्त्र	नाम [सं.]
अङ्कसारिणी	नाम [सं.]
अङ्कावतार	ना.
अङ्कित	वि. [सं.]
अङ्कित मूल्य	नाम [सं.]
अङ्किया नाटक	नाम
अङ्की	विशेषण [सं.]
अङ्कीय	विशेषण [सं.]
अङ्कुर	ना. [सं.]
अङ्कुरण	ना.
अङ्कुराउनु	अ.क्रि.
अङ्कुरित	वि.
अङ्कुरित यौवना	विशेषण [सं.]
अङ्कुरिनु	अकर्मक क्रिया [अङ्कुर+इ+नु]
